episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1633,1,17.3192,14.9073,0.189,413,1295,14,51,0.050,100,41.70,50000,492.05,6,1,34.000(42.500%)(1.500m),51.000(51.000%)(3.321m),67.000(67.000%)(5.036m),47.883(47.883%)(2.987m),23.150(28.938%)(0.338m),21.000(52.500%)(1.179m),16.329(40.822%)(0.678m),561.933,3101.358
1634,1,15.0669,14.9084,0.198,418,1310,43,103,0.050,100,41.74,50000,494.23,7,1,24.677(30.847%)(0.501m),38.000(38.000%)(1.929m),50.000(50.000%)(3.214m),35.000(35.000%)(1.607m),16.000(20.000%)(0.000m),17.434(43.584%)(0.796m),12.000(30.000%)(0.214m),204.664,2590.631
1635,1,14.2979,14.8330,0.195,429,1332,48,130,0.050,100,41.77,50000,505.07,8,1,20.499(25.624%)(0.053m),29.000(29.000%)(0.964m),38.000(38.000%)(1.929m),39.000(39.000%)(2.036m),23.000(28.750%)(0.321m),14.427(36.068%)(0.474m),20.000(50.000%)(1.071m),130.699,2551.936
1636,1,16.1399,14.8077,0.177,420,1312,60,7,0.050,100,41.81,50000,497.56,9,1,21.196(26.495%)(0.128m),43.902(43.902%)(2.561m),59.000(59.000%)(4.179m),43.000(43.000%)(2.464m),30.000(37.500%)(1.071m),14.943(37.358%)(0.530m),22.000(55.000%)(1.286m),359.775,2999.179
1637,1,4.5481,14.8250,0.180,318,989,7,23,0.050,90,41.78,50000,368.48,0,0,24.666(30.833%)(0.500m),47.000(47.000%)(2.893m),62.000(62.000%)(4.500m),26.000(26.000%)(0.643m),13.000(16.250%)(0.000m),17.426(43.564%)(0.796m),10.000(25.000%)(0.000m),467.074,2931.181
1638,1,17.3477,14.8528,0.191,422,1316,52,7,0.050,100,41.82,50000,509.01,1,1,20.743(25.928%)(0.080m),43.255(43.255%)(2.492m),59.000(59.000%)(4.179m),43.000(43.000%)(2.464m),30.000(37.500%)(1.071m),14.616(36.541%)(0.495m),26.000(65.000%)(1.714m),359.775,3011.659
1639,1,17.5909,14.8877,0.182,447,1370,38,69,0.050,100,41.85,50000,527.15,2,1,21.496(26.871%)(0.160m),44.000(44.000%)(2.571m),60.000(60.000%)(4.286m),47.000(47.000%)(2.893m),26.000(32.500%)(0.643m),15.136(37.841%)(0.550m),19.000(47.500%)(0.964m),414.525,3592.969
1640,1,17.2269,14.8855,0.190,414,1299,0,89,0.050,100,41.89,50000,477.20,3,1,24.608(30.760%)(0.494m),47.000(47.000%)(2.893m),70.000(70.000%)(5.357m),42.000(42.000%)(2.357m),24.000(30.000%)(0.429m),17.384(43.459%)(0.791m),17.000(42.500%)(0.750m),392.078,2791.127
1641,1,17.7108,14.8904,0.179,413,1297,1,69,0.050,100,41.93,50000,447.36,4,1,24.677(30.847%)(0.501m),47.000(47.000%)(2.893m),59.000(59.000%)(4.179m),35.000(35.000%)(1.607m),24.000(30.000%)(0.429m),17.434(43.584%)(0.796m),17.000(42.500%)(0.750m),204.664,2681.231
1642,1,1.9106,14.6221,0.181,342,1044,115,32,0.050,90,41.90,50000,438.60,0,0,22.989(28.737%)(0.320m),38.000(38.000%)(1.929m),51.000(51.000%)(3.321m),29.000(29.000%)(0.964m),13.000(16.250%)(0.000m),16.229(40.572%)(0.667m),10.000(25.000%)(0.000m),233.291,3390.183
1643,1,18.5896,14.6885,0.207,430,1333,0,96,0.050,100,41.94,50000,525.34,1,1,25.373(31.716%)(0.576m),45.000(45.000%)(2.679m),60.000(60.000%)(4.286m),36.000(36.000%)(1.714m),21.000(26.250%)(0.107m),17.937(44.841%)(0.850m),19.000(47.500%)(0.964m),215.165,3072.385
1644,1,16.2615,14.6891,0.165,415,1302,10,85,0.050,100,41.97,50000,488.02,2,1,24.147(30.183%)(0.444m),38.000(38.000%)(1.929m),50.000(50.000%)(3.214m),47.000(47.000%)(2.893m),29.000(36.250%)(0.964m),17.050(42.624%)(0.755m),21.000(52.500%)(1.179m),273.142,2731.650
1645,1,4.5967,14.4411,0.201,333,1019,7,26,0.050,90,41.95,50000,390.30,0,0,24.864(31.080%)(0.521m),44.000(44.000%)(2.571m),57.000(57.000%)(3.964m),17.000(17.000%)(0.000m),11.000(13.750%)(0.000m),17.569(43.922%)(0.811m),11.000(27.500%)(0.107m),343.483,2956.579
1646,1,17.6494,14.4361,0.177,414,1299,0,83,0.050,100,41.98,50000,481.88,1,1,24.585(30.731%)(0.491m),47.000(47.000%)(2.893m),62.000(62.000%)(4.500m),39.000(39.000%)(2.036m),24.000(30.000%)(0.429m),17.367(43.417%)(0.789m),17.000(42.500%)(0.750m),326.544,2739.899
1647,1,12.6346,14.3637,0.188,421,1316,111,77,0.050,100,42.02,50000,499.72,2,1,21.805(27.257%)(0.193m),45.878(45.878%)(2.773m),67.000(67.000%)(5.036m),43.000(43.000%)(2.464m),18.000(22.500%)(0.000m),15.366(38.415%)(0.575m),13.000(32.500%)(0.321m),531.959,3060.399
1648,1,16.0116,14.3416,0.189,426,1325,0,99,0.050,100,42.05,50000,507.63,3,1,25.287(31.609%)(0.566m),52.000(52.000%)(3.429m),68.000(68.000%)(5.143m),49.000(49.000%)(3.107m),27.000(33.750%)(0.750m),17.875(44.687%)(0.844m),19.000(47.500%)(0.964m),523.088,3013.999
1649,1,18.4392,14.3447,0.185,430,1334,0,0,0.050,100,42.09,50000,494.74,4,1,31.000(38.750%)(1.179m),54.000(54.000%)(3.643m),70.000(70.000%)(5.357m),49.270(49.270%)(3.136m),23.976(29.970%)(0.426m),22.000(55.000%)(1.286m),16.929(42.322%)(0.742m),580.608,3116.030
1650,1,16.9228,14.3464,0.164,411,1291,0,25,0.050,100,42.12,50000,487.42,5,1,28.000(35.000%)(0.857m),41.000(41.000%)(2.250m),67.000(67.000%)(5.036m),54.000(54.000%)(3.643m),27.171(33.964%)(0.768m),23.000(57.500%)(1.393m),19.241(48.103%)(0.990m),354.408,2832.389
