episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1842,1,17.2330,15.6876,0.173,414,1299,0,101,0.050,100,46.42,50000,554.63,14,1,24.284(30.355%)(0.459m),44.000(44.000%)(2.571m),63.000(63.000%)(4.607m),42.000(42.000%)(2.357m),23.000(28.750%)(0.321m),17.149(42.873%)(0.766m),17.000(42.500%)(0.750m),338.041,2774.463
1843,1,15.3529,15.6300,0.162,417,1306,44,102,0.050,100,46.45,50000,581.63,15,1,20.000(25.000%)(0.000m),37.000(37.000%)(1.821m),47.000(47.000%)(2.893m),35.000(35.000%)(1.607m),24.000(30.000%)(0.429m),14.222(35.555%)(0.452m),15.000(37.500%)(0.536m),173.994,2562.397
1844,1,20.1985,16.0182,0.154,413,1297,1,20,0.050,100,46.48,50000,539.09,16,1,24.210(30.262%)(0.451m),42.000(42.000%)(2.357m),59.000(59.000%)(4.179m),45.000(45.000%)(2.679m),28.000(35.000%)(0.857m),17.095(42.739%)(0.760m),23.000(57.500%)(1.393m),352.991,2712.992
1845,1,19.1162,16.0595,0.163,412,1294,1,47,0.050,100,46.50,50000,526.60,17,1,24.673(30.841%)(0.501m),47.000(47.000%)(2.893m),59.000(59.000%)(4.179m),41.000(41.000%)(2.250m),23.000(28.750%)(0.321m),17.430(43.575%)(0.796m),20.000(50.000%)(1.071m),306.459,2725.479
1846,1,18.4333,16.0253,0.169,413,1297,0,84,0.050,100,46.53,50000,570.29,18,1,24.397(30.497%)(0.471m),42.000(42.000%)(2.357m),63.000(63.000%)(4.607m),47.000(47.000%)(2.893m),28.000(35.000%)(0.857m),17.231(43.078%)(0.775m),20.000(50.000%)(1.071m),346.978,2759.118
1847,1,16.8197,16.3183,0.182,413,1297,0,95,0.050,100,46.56,50000,574.11,19,1,24.364(30.455%)(0.468m),47.000(47.000%)(2.893m),62.000(62.000%)(4.500m),42.000(42.000%)(2.357m),23.000(28.750%)(0.321m),17.207(43.016%)(0.772m),17.000(42.500%)(0.750m),332.330,2739.548
1848,1,15.6945,16.2846,0.164,416,1305,21,89,0.050,100,46.59,50000,583.46,20,1,23.000(28.750%)(0.321m),41.000(41.000%)(2.250m),62.000(62.000%)(4.500m),51.000(51.000%)(3.321m),17.000(21.250%)(0.000m),17.265(43.164%)(0.778m),11.000(27.500%)(0.107m),336.566,2831.648
1849,1,19.3770,16.2639,0.173,412,1294,0,88,0.050,100,46.62,50000,560.87,21,1,24.364(30.455%)(0.468m),41.000(41.000%)(2.250m),62.000(62.000%)(4.500m),42.000(42.000%)(2.357m),23.000(28.750%)(0.321m),17.207(43.016%)(0.772m),20.000(50.000%)(1.071m),325.303,2695.308
1850,1,17.1794,16.2246,0.169,413,1297,23,101,0.050,100,46.65,50000,545.35,22,1,24.395(30.494%)(0.471m),41.000(41.000%)(2.250m),62.000(62.000%)(4.500m),46.000(46.000%)(2.786m),20.000(25.000%)(0.000m),17.229(43.074%)(0.775m),14.000(35.000%)(0.429m),330.950,2763.383
1851,1,1.6088,15.9306,0.146,164,465,5,12,0.050,65,46.62,50000,223.54,0,0,23.000(28.750%)(0.321m),29.000(29.000%)(0.964m),56.000(56.000%)(3.857m),83.385(83.385%)(6.791m),44.764(55.955%)(2.653m),40.000(100.000%)(3.214m),37.676(94.190%)(2.965m),0.000,3220.439
1852,1,18.5066,15.9496,0.160,413,1297,0,102,0.050,100,46.65,50000,546.18,1,1,24.284(30.355%)(0.459m),41.000(41.000%)(2.250m),62.000(62.000%)(4.500m),42.000(42.000%)(2.357m),23.000(28.750%)(0.321m),17.149(42.873%)(0.766m),17.000(42.500%)(0.750m),331.013,2698.495
1853,1,13.8121,15.8882,0.178,474,1430,110,96,0.050,100,46.68,50000,632.58,2,1,17.958(22.448%)(0.000m),38.368(38.368%)(1.968m),51.000(51.000%)(3.321m),38.000(38.000%)(1.929m),18.000(22.500%)(0.000m),12.600(31.501%)(0.279m),13.000(32.500%)(0.321m),358.342,3544.103
1854,1,18.7609,15.9271,0.161,417,1304,0,54,0.050,100,46.71,50000,555.67,3,1,24.348(30.434%)(0.466m),50.039(50.039%)(3.219m),63.000(63.000%)(4.607m),42.000(42.000%)(2.357m),27.000(33.750%)(0.750m),17.195(42.987%)(0.771m),18.000(45.000%)(0.857m),338.041,3025.939
1855,1,18.4275,15.8911,0.152,415,1302,9,76,0.050,100,46.74,50000,558.59,4,1,24.849(31.061%)(0.520m),44.000(44.000%)(2.571m),50.000(50.000%)(3.214m),38.000(38.000%)(1.929m),24.000(30.000%)(0.429m),17.558(43.894%)(0.810m),20.000(50.000%)(1.071m),238.279,2661.614
1856,1,14.6921,15.8220,0.175,429,1331,9,67,0.050,100,46.77,50000,578.91,5,1,25.890(32.363%)(0.631m),49.000(49.000%)(3.107m),45.000(45.000%)(2.679m),31.000(31.000%)(1.179m),24.000(30.000%)(0.429m),18.311(45.777%)(0.890m),19.000(47.500%)(0.964m),97.717,3138.110
1857,1,20.2276,15.9306,0.158,413,1295,0,68,0.050,100,46.80,50000,555.71,6,1,22.000(27.500%)(0.214m),41.000(41.000%)(2.250m),62.000(62.000%)(4.500m),46.000(46.000%)(2.786m),23.000(28.750%)(0.321m),17.207(43.016%)(0.772m),20.000(50.000%)(1.071m),325.303,2747.114
